iter	Passed	Remaining
336	793	1561
337	795	1558
338	797	1554
339	799	1551
340	801	1548
341	802	1544
342	804	1541
343	806	1537
344	808	1534
345	809	1530
346	811	1527
347	813	1524
348	815	1520
349	816	1517
350	818	1513
351	820	1510
352	822	1507
353	824	1503
354	825	1500
355	827	1497
356	829	1493
357	831	1490
358	832	1487
359	834	1484
360	836	1480
361	838	1477
362	840	1474
363	841	1471
364	843	1467
365	845	1464
366	847	1461
367	849	1458
368	850	1455
369	852	1451
370	854	1448
371	856	1445
372	857	1442
373	859	1438
374	861	1435
375	863	1432
376	864	1429
377	866	1426
378	868	1422
379	870	1419
380	871	1416
381	873	1413
382	875	1410
383	877	1407
384	878	1404
385	880	1400
386	882	1397
387	884	1394
388	885	1391
389	887	1388
390	889	1385
391	891	1382
392	893	1379
393	894	1376
394	896	1373
395	898	1370
396	900	1367
397	902	1364
398	903	1361
399	905	1358
400	907	1355
401	909	1352
402	911	1349
403	912	1346
404	914	1343
405	916	1340
406	917	1337
407	919	1334
408	921	1331
409	923	1328
410	925	1325
411	926	1322
412	928	1319
413	930	1316
414	932	1314
415	933	1311
416	935	1308
417	937	1305
418	939	1302
419	941	1299
420	942	1296
421	944	1293
422	946	1290
423	948	1287
424	949	1284
425	951	1282
426	953	1280
427	955	1277
428	957	1274
429	959	1271
430	961	1268
431	962	1266
432	964	1263
433	966	1260
434	968	1257
435	969	1254
436	971	1252
437	973	1249
438	975	1246
439	977	1243
440	979	1240
441	980	1238
442	982	1235
443	984	1232
444	986	1230
445	988	1227
446	989	1224
447	991	1221
448	993	1219
449	995	1216
450	997	1213
451	998	1211
452	1001	1208
453	1002	1206
454	1004	1203
455	1006	1200
456	1008	1197
457	1009	1195
458	1011	1192
459	1013	1189
460	1015	1187
461	1017	1184
462	1019	1182
463	1021	1179
464	1022	1176
465	1024	1174
466	1026	1171
467	1028	1168
468	1030	1166
469	1031	1163
470	1033	1160
471	1035	1158
472	1036	1155
473	1038	1152
474	1040	1150
475	1042	1147
476	1044	1145
477	1046	1142
478	1047	1139
479	1049	1137
480	1051	1134
481	1053	1131
482	1054	1129
483	1056	1126
484	1058	1124
485	1060	1121
486	1062	1119
487	1064	1116
488	1065	1113
489	1067	1111
490	1069	1108
491	1071	1105
492	1072	1103
493	1074	1100
494	1076	1098
495	1078	1095
496	1080	1093
497	1081	1090
498	1083	1088
499	1085	1085
500	1087	1083
501	1089	1080
502	1091	1077
503	1092	1075
504	1094	1072
505	1096	1070
506	1098	1067
507	1099	1065
508	1101	1062
509	1103	1060
510	1105	1057
511	1107	1055
512	1109	1053
513	1111	1050
514	1113	1048
515	1114	1045
516	1116	1043
517	1118	1040
518	1120	1038
519	1121	1035
520	1123	1033
521	1125	1030
522	1127	1028
523	1129	1025
524	1130	1023
525	1132	1020
526	1134	1018
527	1136	1015
528	1138	1013
529	1140	1010
530	1141	1008
531	1143	1005
532	1145	1003
533	1147	1001
534	1149	998
535	1150	996
536	1152	993
537	1154	991
538	1156	988
539	1157	986
540	1159	983
541	1161	981
542	1163	979
543	1165	976
544	1166	974
545	1168	971
546	1169	968
547	1171	966
548	1173	964
549	1175	961
550	1177	959
551	1179	956
552	1180	954
553	1182	952
554	1184	949
555	1186	947
556	1188	944
557	1190	942
558	1191	940
559	1193	937
560	1195	935
561	1197	933
562	1198	930
563	1200	928
564	1202	925
565	1204	923
566	1206	921
567	1207	918
568	1209	916
569	1211	913
570	1213	911
571	1215	909
572	1216	906
573	1218	904
574	1220	902
575	1222	899
576	1224	897
577	1225	895
578	1227	892
579	1229	890
580	1231	887
581	1233	885
582	1234	883
583	1236	880
584	1238	878
585	1240	876
586	1242	874
587	1243	871
588	1245	869
589	1247	866
590	1249	864
591	1251	862
592	1253	860
593	1254	857
594	1256	855
595	1258	853
596	1260	850
597	1262	848
598	1263	846
599	1265	843
600	1267	841
601	1269	839
602	1271	837
603	1273	834
604	1275	832
605	1277	830
606	1278	828
607	1280	825
608	1282	823
609	1284	821
610	1286	818
611	1287	816
612	1289	814
613	1291	811
614	1292	809
615	1295	807
616	1296	805
617	1298	802
618	1300	800
619	1301	797
620	1303	795
621	1305	793
622	1307	791
623	1309	789
624	1311	786
625	1313	784
626	1314	782
627	1316	779
628	1318	777
629	1320	775
630	1321	773
631	1323	770
632	1325	768
633	1327	766
634	1328	763
635	1330	761
636	1332	759
637	1334	757
638	1336	754
639	1337	752
640	1339	750
641	1341	748
642	1343	745
643	1345	743
644	1346	741
645	1348	739
646	1350	737
647	1352	734
648	1354	732
649	1356	730
650	1358	728
651	1360	726
652	1362	723
653	1364	721
654	1366	719
655	1368	717
656	1370	715
657	1372	713
658	1374	711
659	1376	708
660	1378	706
661	1379	704
662	1381	702
663	1383	700
664	1385	698
665	1387	695
666	1389	693
667	1391	691
668	1394	689
669	1396	687
670	1397	685
671	1400	683
672	1402	681
673	1404	679
674	1406	676
675	1408	674
676	1410	672
677	1412	670
678	1414	668
679	1416	666
680	1418	664
681	1420	662
682	1422	660
683	1424	658
684	1426	655
685	1428	653
686	1430	651
687	1432	649
688	1434	647
689	1436	645
690	1438	643
691	1440	641
692	1442	638
693	1444	636
694	1446	634
695	1448	632
696	1450	630
697	1451	628
698	1453	625
699	1455	623
700	1457	621
701	1459	619
702	1461	617
703	1463	615
704	1465	613
705	1466	610
706	1468	608
707	1470	606
708	1472	604
709	1473	602
710	1475	599
711	1477	597
712	1479	595
713	1480	593
714	1482	591
715	1484	588
716	1486	586
717	1487	584
718	1489	582
719	1491	580
720	1493	577
721	1495	575
722	1497	573
723	1498	571
724	1500	569
725	1502	567
726	1504	564
727	1506	562
728	1507	560
729	1509	558
730	1511	556
731	1513	554
732	1515	551
733	1516	549
734	1518	547
735	1520	545
736	1522	543
737	1524	541
738	1525	538
739	1527	536
740	1529	534
741	1531	532
742	1532	530
743	1534	528
744	1536	525
745	1538	523
746	1540	521
747	1541	519
748	1543	517
749	1545	515
750	1547	512
751	1548	510
752	1550	508
753	1552	506
754	1554	504
755	1556	502
756	1557	500
757	1559	497
758	1561	495
759	1563	493
760	1564	491
761	1566	489
762	1568	487
763	1570	485
764	1572	483
765	1574	480
766	1575	478
767	1577	476
768	1579	474
769	1581	472
770	1583	470
771	1585	468
772	1586	465
773	1588	463
774	1590	461
775	1592	459
776	1594	457
777	1595	455
778	1598	453
779	1599	451
780	1601	449
781	1603	446
782	1605	444
783	1606	442
784	1608	440
785	1610	438
786	1612	436
787	1614	434
788	1615	432
789	1617	430
790	1619	427
791	1621	425
792	1623	423
793	1624	421
794	1626	419
795	1628	417
796	1630	415
797	1632	413
798	1633	411
799	1635	408
800	1637	406
801	1639	404
802	1641	402
803	1642	400
804	1644	398
805	1646	396
806	1647	394
807	1649	392
808	1651	389
809	1653	387
810	1655	385
811	1657	383
812	1659	381
813	1660	379
814	1662	377
815	1664	375
816	1666	373
817	1667	371
818	1669	368
819	1671	366
820	1673	364
821	1674	362
822	1676	360
823	1678	358
824	1680	356
825	1681	354
826	1683	352
827	1685	350
828	1687	348
829	1689	346
830	1691	343
831	1693	341
832	1694	339
833	1696	337
834	1698	335
835	1700	333
836	1702	331
837	1704	329
838	1705	327
839	1707	325
840	1709	323
841	1711	321
842	1713	319
843	1715	317
844	1716	314
845	1718	312
846	1720	310
847	1722	308
848	1724	306
849	1726	304
850	1727	302
851	1729	300
852	1731	298
853	1733	296
854	1735	294
855	1737	292
856	1738	290
857	1740	288
858	1742	286
859	1744	283
860	1746	281
861	1747	279
862	1749	277
863	1751	275
864	1753	273
865	1755	271
866	1757	269
867	1758	267
868	1760	265
869	1762	263
870	1764	261
871	1765	259
872	1767	257
873	1769	255
874	1771	253
875	1773	251
876	1774	248
877	1776	246
878	1778	244
879	1780	242
880	1782	240
881	1783	238
882	1785	236
883	1787	234
884	1789	232
885	1791	230
886	1792	228
887	1794	226
888	1796	224
889	1798	222
890	1800	220
891	1801	218
892	1803	216
893	1805	214
894	1806	211
895	1808	209
896	1810	207
897	1812	205
898	1814	203
899	1815	201
900	1817	199
901	1819	197
902	1821	195
903	1823	193
904	1824	191
905	1826	189
906	1828	187
907	1829	185
908	1831	183
909	1833	181
910	1835	179
911	1836	177
912	1838	175
913	1839	173
914	1841	171
915	1843	169
916	1845	167
917	1847	164
918	1848	162
919	1850	160
920	1852	158
921	1854	156
922	1855	154
923	1857	152
924	1859	150
925	1861	148
926	1862	146
927	1864	144
928	1866	142
929	1868	140
930	1870	138
931	1872	136
932	1873	134
933	1875	132
934	1876	130
935	1878	128
936	1880	126
937	1882	124
938	1884	122
939	1886	120
940	1887	118
941	1889	116
942	1891	114
943	1893	112
944	1894	110
945	1896	108
946	1898	106
947	1900	104
948	1902	102
949	1903	100
950	1905	98
951	1907	96
952	1909	94
953	1910	92
954	1912	90
955	1914	88
956	1916	86
957	1918	84
958	1920	82
959	1921	80
960	1923	78
961	1925	76
962	1927	74
963	1928	72
964	1930	70
965	1932	68
966	1934	66
967	1935	63
968	1937	61
969	1939	59
970	1941	57
971	1943	55
972	1944	53
973	1946	51
974	1948	49
975	1949	47
976	1951	45
977	1953	43
978	1955	41
979	1957	39
980	1959	37
981	1960	35
982	1962	33
983	1964	31
984	1966	29
985	1967	27
986	1969	25
987	1971	23
988	1973	21
989	1975	19
990	1976	17
991	1978	15
992	1980	13
993	1981	11
994	1983	9
995	1985	7
996	1987	5
997	1989	3
998	1991	1
999	1993	0
